"Notes","Year","Year Code","Month","Month Code",Births
,"2007","2007","January","1",354943
,"2007","2007","February","2",326891
,"2007","2007","March","3",360828
,"2007","2007","April","4",338224
,"2007","2007","May","5",362319
,"2007","2007","June","6",358606
,"2007","2007","July","7",379616
,"2007","2007","August","8",390378
,"2007","2007","September","9",366904
,"2007","2007","October","10",369324
,"2007","2007","November","11",353660
,"2007","2007","December","12",354540
"Total","2007","2007",,,4316233
,"2008","2008","January","1",356457
,"2008","2008","February","2",338521
,"2008","2008","March","3",350630
,"2008","2008","April","4",346397
,"2008","2008","May","5",354886
,"2008","2008","June","6",348587
,"2008","2008","July","7",375384
,"2008","2008","August","8",373333
,"2008","2008","September","9",367965
,"2008","2008","October","10",357875
,"2008","2008","November","11",323788
,"2008","2008","December","12",353871
"Total","2008","2008",,,4247694
,"2009","2009","January","1",337980
,"2009","2009","February","2",316641
,"2009","2009","March","3",347803
,"2009","2009","April","4",337272
,"2009","2009","May","5",345257
,"2009","2009","June","6",346971
,"2009","2009","July","7",368450
,"2009","2009","August","8",359554
,"2009","2009","September","9",361922
,"2009","2009","October","10",347625
,"2009","2009","November","11",320195
,"2009","2009","December","12",340995
"Total","2009","2009",,,4130665
,"2010","2010","January","1",323249
,"2010","2010","February","2",301994
,"2010","2010","March","3",338613
,"2010","2010","April","4",325028
,"2010","2010","May","5",328273
,"2010","2010","June","6",334535
,"2010","2010","July","7",345199
,"2010","2010","August","8",349747
,"2010","2010","September","9",350745
,"2010","2010","October","10",336809
,"2010","2010","November","11",326220
,"2010","2010","December","12",338974
"Total","2010","2010",,,3999386
,"2011","2011","January","1",320477
,"2011","2011","February","2",297961
,"2011","2011","March","3",330151
,"2011","2011","April","4",313275
,"2011","2011","May","5",326647
,"2011","2011","June","6",337280
,"2011","2011","July","7",345560
,"2011","2011","August","8",359404
,"2011","2011","September","9",345548
,"2011","2011","October","10",328488
,"2011","2011","November","11",321479
,"2011","2011","December","12",327320
"Total","2011","2011",,,3953590
,"2012","2012","January","1",316315
,"2012","2012","February","2",304505
,"2012","2012","March","3",324322
,"2012","2012","April","4",306700
,"2012","2012","May","5",330146
,"2012","2012","June","6",327189
,"2012","2012","July","7",347542
,"2012","2012","August","8",361114
,"2012","2012","September","9",340113
,"2012","2012","October","10",345497
,"2012","2012","November","11",325146
,"2012","2012","December","12",324252
"Total","2012","2012",,,3952841
,"2013","2013","January","1",323691
,"2013","2013","February","2",291748
,"2013","2013","March","3",320529
,"2013","2013","April","4",311645
,"2013","2013","May","5",329520
,"2013","2013","June","6",319779
,"2013","2013","July","7",349158
,"2013","2013","August","8",353485
,"2013","2013","September","9",338008
,"2013","2013","October","10",340562
,"2013","2013","November","11",318482
,"2013","2013","December","12",335574
"Total","2013","2013",,,3932181
,"2014","2014","January","1",326366
,"2014","2014","February","2",298404
,"2014","2014","March","3",323572
,"2014","2014","April","4",318990
,"2014","2014","May","5",334613
,"2014","2014","June","6",325981
,"2014","2014","July","7",355524
,"2014","2014","August","8",354257
,"2014","2014","September","9",348424
,"2014","2014","October","10",343356
,"2014","2014","November","11",317998
,"2014","2014","December","12",340591
"Total","2014","2014",,,3988076
,"2015","2015","January","1",325955
,"2015","2015","February","2",298058
,"2015","2015","March","3",328923
,"2015","2015","April","4",320832
,"2015","2015","May","5",327917
,"2015","2015","June","6",330541
,"2015","2015","July","7",353415
,"2015","2015","August","8",351791
,"2015","2015","September","9",347516
,"2015","2015","October","10",339007
,"2015","2015","November","11",318820
,"2015","2015","December","12",335722
"Total","2015","2015",,,3978497
,"2016","2016","January","1",316707
,"2016","2016","February","2",306015
,"2016","2016","March","3",328526
,"2016","2016","April","4",313485
,"2016","2016","May","5",327631
,"2016","2016","June","6",332324
,"2016","2016","July","7",342728
,"2016","2016","August","8",357830
,"2016","2016","September","9",345552
,"2016","2016","October","10",330958
,"2016","2016","November","11",319389
,"2016","2016","December","12",324730
"Total","2016","2016",,,3945875
,"2017","2017","January","1",313786
,"2017","2017","February","2",289054
,"2017","2017","March","3",319625
,"2017","2017","April","4",300116
,"2017","2017","May","5",322456
,"2017","2017","June","6",323920
,"2017","2017","July","7",334924
,"2017","2017","August","8",352151
,"2017","2017","September","9",337175
,"2017","2017","October","10",329869
,"2017","2017","November","11",316511
,"2017","2017","December","12",315913
"Total","2017","2017",,,3855500
,"2018","2018","January","1",314808
,"2018","2018","February","2",284250
,"2018","2018","March","3",316044
,"2018","2018","April","4",298394
,"2018","2018","May","5",320622
,"2018","2018","June","6",314816
,"2018","2018","July","7",329009
,"2018","2018","August","8",344750
,"2018","2018","September","9",322772
,"2018","2018","October","10",326778
,"2018","2018","November","11",308703
,"2018","2018","December","12",310766
"Total","2018","2018",,,3791712
,"2019","2019","January","1",310872
,"2019","2019","February","2",279963
,"2019","2019","March","3",304237
,"2019","2019","April","4",298947
,"2019","2019","May","5",316386
,"2019","2019","June","6",304092
,"2019","2019","July","7",333646
,"2019","2019","August","8",341685
,"2019","2019","September","9",325781
,"2019","2019","October","10",325043
,"2019","2019","November","11",298086
,"2019","2019","December","12",308802
"Total","2019","2019",,,3747540
,"2020","2020","January","1",304722
,"2020","2020","February","2",282654
,"2020","2020","March","3",301625
,"2020","2020","April","4",290478
,"2020","2020","May","5",301481
,"2020","2020","June","6",302164
,"2020","2020","July","7",321637
,"2020","2020","August","8",319621
